,ID,KenmerkenPersonen,Marges,Perioden,Rokers,ExRokers,NooitRokers,DagelijkseRokersOnderBevolking,DagelijkseRokersOnderRokers,ZwareRokersOnderBevolking,ZwareRokersOnderRokers,Sigarettenrokers,SigarettenPerDagPerRoker,RookjarenHuidigeSigarettenrokers,StoppogingInAfgelopen12Maanden,RookjarenExSigarettenrokers,StopjarenExSigarettenrokers,ESigaret,ESigaretRegelmatigOfElkeDag,BijnaNooit,MinderDan1UurPerDag,k,BijnaNooit,MinderDan1UurPerDag,k,BijnaNooit,NietDagelijks,DagelijksMinderDanEenUur,DagelijksEenUurOfMeer,Drinkers,ExDrinkers,NooitDrinkers,ZwareDrinkersOnderBevolking,ZwareDrinkersOnderDrinkers,OvermatigeDrinkersOnderBevolking,OvermatigeDrinkersOnderDrinkers,GlazenAlcoholPerDagPerDrinker,Maximaal1GlasPerDagOnderBevolking,RichtlijnAlcoholgebruik12JrOfOuder,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,OpgegevenLengte18JaarOfOuder,OpgegevenGewicht18JaarOfOuder,Ondergewicht,NormaalGewicht,Overgewicht,MatigOvergewicht,ErnstigOvergewicht,VoldoetAanBeweegrichtlijn,VoldoendeMatigIntensieveInspanning,VoldoendeBotSpierversterkActiviteit,WekelijkseSporters,AbonnementSportaanbieder,LidSportvereniging,Inactief,SemiActief,Normactief,Inactief,SemiActief,Normactief,VoldoenAanCombinorm,WekelijkseSporters,RisicovolleSeks,RisicoOngeplandeZwangerschap1649Jr,HivTest,SoaTestExclHivTest,AnticonceptiegebruikInclPil1649,GebruikAnticonceptiepil1649Jaar,k,Minimaal5DagenPWVoldoendeFruit,k,Minimaal5DagenPWVoldoendeGroente,Minimaal1DagPerWeek,Min2DagenPWWaarvan1XVetteVis,InDeAfgelopen5Jaar,LangerDan5JaarGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen5Jaar,NietInDeAfgelopen5Jaar,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,Griepprik16JaarOfOuder,Mantelzorger,UrenMantelzorgPerWeek,ZwaarBelasteMantelzorgers,Bloeddonoren18Tot70Jaar
425,425,"Positie: kind <18 jaar, eenoudergezin",Waarde,2019,5.4,2.3,92.3,3.0,,0.0,,4.1,,,,,,,0.9,,,,,,,76.0,19.3,2.0,2.7,32.0,14.2,53.9,1.0,,2.8,,,77.8,68.0,8.2,13.1,15.3,1.2,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,2.0,8.2,13.1,15.3,,,7.7,79.7,12.6,11.7,0.9,46.4,46.4,98.1,61.2,18.6,41.7,,,,,,,,,,,,,,,27.3,34.0,34.1,46.9,41.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,446,Positie: kind >= 18 jaar eenoudergezin,Waarde,2019,29.7,3.4,67.0,18.8,,2.2,,26.5,,,,,,,1.4,,,,,,,51.1,39.6,4.7,4.6,80.3,7.4,12.3,12.6,15.6,11.8,14.7,1.2,36.1,36.1,16.3,22.4,37.9,5.8,14.3,22.1,1.2,3.7,8.7,4.8,10.1,16.4,2.4,6.5,8.3,1.2,6.9,12.8,18.4,27.1,40.0,176.7,74.9,6.8,56.7,36.5,26.7,9.8,53.5,60.4,77.8,60.8,36.3,19.5,,,,,,,,,11.2,,8.0,11.1,,,17.9,27.5,19.2,39.3,46.9,16.2,,,,,,,,,,,,25.3,38.9,21.2,14.5,3.2,13.3,66.8,16.8,10.1,18.7,58.0,13.2,2.4,5.7,83.5,8.5,0.5,6.2,92.0,1.4,3.3,8.5,,,
467,467,Positie: kind <18 jaar bij paar,Waarde,2019,4.9,2.0,93.2,2.3,,0.3,,4.6,,,,,,,0.4,,,,,,,86.4,10.8,2.0,0.8,34.9,9.6,55.5,3.8,10.9,1.7,5.0,0.6,76.9,65.1,2.4,4.0,5.6,0.2,1.0,1.7,0.0,0.0,0.2,0.2,0.6,0.9,0.0,0.2,0.4,0.0,0.6,0.9,2.4,4.4,6.4,,,5.6,81.5,12.9,10.6,2.3,48.9,49.6,96.9,68.5,15.5,49.2,,,,,,,,,1.2,,0.4,2.0,,,30.2,37.6,29.0,52.7,48.4,9.2,0.0,1.6,93.7,4.7,1.8,2.0,92.4,3.8,,,,23.4,23.3,37.2,16.1,6.1,4.0,71.4,18.6,9.2,10.7,59.2,21.0,1.7,2.7,84.4,11.1,0.5,0.4,92.9,6.2,5.0,2.6,,,
488,488,Positie: kind >=18 jaar bij paar,Waarde,2019,24.6,8.4,67.1,16.0,,2.5,,23.0,,,,,,,1.7,,,,,,,53.8,35.5,8.1,2.6,80.2,6.3,13.5,16.5,20.6,12.4,15.5,1.4,31.2,31.2,9.8,16.3,32.2,4.5,9.3,17.2,1.3,2.8,5.1,3.8,8.2,14.6,0.9,3.4,6.1,1.3,2.6,8.8,12.1,19.8,34.1,176.6,73.3,6.2,68.5,25.3,18.8,6.5,52.1,58.8,78.0,66.9,36.3,34.5,,,,,,,,,6.8,3.0,6.0,11.6,,,19.3,27.3,12.8,32.1,44.4,11.5,16.7,5.3,71.4,6.6,1.9,1.8,92.5,3.8,,,,25.5,37.3,22.8,14.4,7.5,8.7,65.6,18.2,9.2,18.5,54.8,17.5,3.0,2.6,89.3,5.1,0.8,2.3,93.6,3.3,5.1,6.1,,,
509,509,Positie: ouder in eenoudergezin,Waarde,2019,34.3,25.0,40.7,27.3,,4.3,,33.1,,,,,,,0.7,,,,,,,74.7,21.3,2.1,1.9,72.2,13.5,14.3,9.1,12.6,7.5,10.4,1.1,48.4,48.4,5.0,8.1,26.7,2.8,3.5,15.7,0.0,0.0,5.2,0.7,1.5,12.0,1.2,1.2,5.7,1.7,2.2,8.5,7.2,10.8,30.6,170.4,75.9,1.7,44.5,53.9,33.4,20.4,37.0,44.8,76.6,45.2,21.4,18.0,,,,,,,,,5.3,10.4,11.5,12.7,,,25.4,37.0,15.3,30.1,53.6,16.0,66.6,18.1,13.4,1.8,30.9,19.9,47.7,1.5,,,,49.5,46.0,2.6,1.9,25.2,28.4,34.6,11.8,28.9,36.3,24.6,10.2,16.0,6.6,71.2,6.2,2.6,19.9,76.1,1.3,15.1,17.1,,,
530,530,Positie: partner in paar met kind,Waarde,2019,18.7,30.6,50.7,13.4,71.5,1.9,10.4,17.2,9.3,25.6,39.4,16.0,13.9,,1.7,,,,,,,78.1,17.4,3.0,1.5,79.0,11.2,9.8,5.0,6.4,5.0,6.4,1.0,41.0,41.0,2.4,3.7,23.2,1.0,2.4,10.9,0.3,0.6,4.2,0.4,1.6,8.1,0.2,0.7,5.3,0.3,0.7,6.4,2.9,5.1,25.2,175.3,79.5,1.1,47.0,51.9,37.7,14.2,51.3,57.0,81.3,54.9,26.3,19.8,,,,,,,,,0.2,9.8,3.3,2.8,68.6,24.1,26.9,37.3,17.6,38.3,54.9,14.6,74.5,10.7,13.4,1.4,27.6,15.6,55.9,0.9,,,,44.7,47.8,3.7,3.7,26.8,30.8,32.0,10.5,30.1,35.0,23.7,11.2,12.9,5.4,76.2,5.5,2.6,10.5,85.5,1.3,9.8,17.0,9.5,15.0,
551,551,"Positie: partner paar <40, geen kind",Waarde,2019,23.8,20.5,55.6,13.8,57.7,3.0,12.8,22.5,,,,,,,1.6,,,,,,,62.4,29.9,5.0,2.6,89.7,4.3,6.0,12.9,14.4,8.6,9.6,1.3,27.7,27.7,7.1,12.2,45.4,4.1,11.4,25.2,1.0,3.4,10.5,2.3,8.8,22.5,0.9,4.2,11.5,0.8,2.6,13.6,9.6,18.8,48.5,176.2,75.7,2.3,60.4,37.2,30.2,7.0,58.2,63.6,87.5,68.3,39.8,24.3,,,,,,,,,0.2,3.1,7.3,10.5,70.5,47.3,23.5,36.2,22.7,43.8,51.4,14.8,40.5,7.6,50.3,1.5,4.9,6.0,87.6,1.5,,,,32.6,50.3,9.3,7.7,15.5,20.7,48.6,15.1,20.7,27.9,38.4,13.0,6.6,6.0,78.6,8.8,0.9,5.2,91.8,2.1,6.0,5.8,,,
572,572,"Positie: partner paar 40-65, geen kind",Waarde,2019,20.6,41.7,37.8,17.2,83.5,3.3,16.2,18.8,11.5,37.7,25.4,20.2,21.2,,1.7,,,,,,,75.5,20.1,2.4,2.0,84.4,9.5,6.1,8.2,9.7,10.4,12.3,1.2,36.3,36.3,2.2,2.8,13.5,0.5,1.0,4.8,0.1,0.2,1.0,0.5,0.9,2.4,0.3,0.4,2.5,0.3,0.3,2.6,2.6,3.4,14.1,174.5,80.3,0.9,41.8,57.3,38.7,18.6,52.4,57.6,85.2,49.1,21.2,16.1,,,,,,,,,0.7,,2.8,2.3,,,30.6,43.0,20.8,43.9,63.0,20.8,71.9,18.6,6.0,3.5,71.6,11.2,16.9,0.3,,,,59.0,36.9,1.6,2.6,43.9,33.1,17.6,5.3,44.1,29.8,17.4,8.8,46.6,6.3,42.0,5.1,4.1,19.5,74.8,1.5,24.1,24.5,8.6,12.0,
593,593,"Positie: partner paar >=65, geen kind",Waarde,2019,10.3,56.7,33.0,8.7,85.1,1.2,11.7,8.2,10.8,54.3,31.1,25.7,29.8,,0.4,,,,,,,86.3,10.6,1.6,1.5,77.1,14.6,8.4,6.0,7.7,8.2,10.7,1.3,50.7,50.7,0.1,0.2,2.7,0.1,0.3,1.0,0.0,0.1,0.4,0.1,0.1,0.2,0.0,0.0,0.4,0.0,0.1,0.7,0.2,0.4,3.0,171.9,77.8,1.0,40.8,58.2,42.2,16.0,45.7,51.1,79.2,38.1,16.3,13.2,,,,,,,,,0.4,,0.2,0.5,,,39.9,48.8,16.5,40.0,69.1,24.7,22.3,63.5,7.2,7.0,64.8,30.6,3.3,1.2,,,,76.5,20.6,1.0,2.0,64.6,23.1,7.5,4.8,62.0,19.4,9.6,8.9,54.8,14.7,24.4,6.0,6.9,32.1,59.1,1.9,62.8,20.5,14.2,9.0,
614,614,Positie: overig lid,Waarde,2019,28.3,16.3,55.4,16.7,,1.8,,25.6,,,,,,,1.9,,,,,,,68.8,22.1,6.7,2.4,74.3,8.0,17.7,14.0,18.9,12.4,16.7,1.4,42.6,41.6,11.0,18.9,34.8,6.3,13.0,17.6,1.8,5.6,8.6,3.4,9.5,15.1,2.6,5.2,7.4,2.1,5.4,9.8,14.0,22.8,36.7,174.9,76.1,2.1,59.9,38.0,26.5,11.4,51.5,57.6,77.7,59.3,29.7,26.5,,,,,,,,,10.5,,6.9,10.7,,,31.9,42.5,23.0,41.6,52.1,11.4,25.6,15.3,54.8,4.3,22.0,15.3,61.6,1.1,,,,44.3,34.6,12.6,8.5,26.3,18.6,42.1,13.0,28.3,21.5,36.1,14.1,12.3,4.9,73.0,9.7,1.0,6.3,89.0,3.8,12.2,13.8,,,
635,635,Migratieachtergrond: Nederland,Waarde,2019,19.4,32.8,47.8,14.0,72.3,2.5,13.0,17.6,10.0,26.9,33.6,20.1,20.6,,1.4,,,,,,,77.9,18.2,2.5,1.4,80.2,10.8,9.0,8.9,11.2,8.6,10.8,1.2,39.8,38.8,4.3,6.4,21.1,2.1,4.3,10.9,0.6,1.6,4.4,1.3,3.2,8.2,0.7,1.8,5.1,0.7,1.5,6.1,5.4,8.5,22.9,175.2,78.5,2.5,54.4,43.1,31.0,12.1,50.7,55.9,83.3,55.3,23.5,24.9,,,,,,,,,3.2,6.1,3.7,5.1,76.3,38.1,29.4,39.5,18.4,39.7,54.0,15.4,50.0,26.1,20.5,3.4,38.7,18.4,41.9,1.0,,,,51.8,37.2,5.9,5.1,34.4,25.0,30.3,10.2,35.9,26.7,25.6,11.8,25.4,7.0,61.4,6.2,3.5,15.7,78.9,1.9,24.8,16.5,9.7,13.7,
656,656,Migratieachtergrond: westers,Waarde,2019,24.6,29.6,45.9,17.2,69.9,4.7,19.1,23.0,10.2,27.0,29.5,20.4,20.5,,2.2,,,,,,,78.1,15.7,4.1,2.1,77.8,9.9,12.3,7.0,9.0,7.4,9.5,1.1,47.0,46.0,5.4,8.1,25.7,2.5,4.9,13.3,0.6,1.4,5.0,1.1,3.2,9.3,0.7,1.8,6.3,1.2,2.0,8.6,6.9,10.3,27.2,171.9,76.7,2.5,49.6,47.8,33.2,14.6,49.6,53.2,82.5,51.7,23.7,18.6,,,,,,,,,2.8,7.4,4.7,6.3,73.6,35.4,30.7,40.1,26.2,47.3,61.3,20.0,45.9,25.4,25.9,2.8,31.5,26.5,39.6,2.3,,,,50.6,39.5,5.3,4.5,35.4,26.0,28.3,10.2,37.8,28.3,23.0,10.9,24.0,9.2,58.9,7.9,2.7,18.5,77.1,1.7,23.8,13.3,11.4,13.7,
677,677,Migratieachtergrond: 1e gen westers,Waarde,2019,23.4,28.5,48.1,17.5,,5.1,,23.4,,,,,,,1.2,,,,,,,74.6,16.2,6.3,2.9,75.7,10.2,14.0,4.8,6.4,5.8,7.7,0.9,52.7,52.2,4.7,6.1,24.0,0.8,2.3,11.4,0.0,0.4,3.9,0.0,0.7,7.1,0.0,0.3,5.6,0.8,1.3,5.7,5.2,7.4,24.8,170.5,75.7,1.7,45.5,52.8,36.7,16.1,50.4,54.9,81.5,48.2,26.1,12.3,,,,,,,,,3.1,,7.1,6.1,,,29.5,40.8,26.3,46.5,63.6,19.6,51.6,19.6,24.3,4.5,30.8,25.7,39.5,4.0,,,,54.5,36.9,4.3,4.2,36.8,27.8,22.2,13.2,39.2,29.7,18.4,12.6,24.3,8.7,56.3,10.7,4.2,18.0,74.3,3.5,18.9,8.8,,,
698,698,Migratieachtergrond: 2e gen westers,Waarde,2019,25.4,30.3,44.3,16.9,66.7,4.5,17.5,22.7,,,,21.6,22.2,,2.9,,,,,,,80.2,15.4,2.8,1.6,79.2,9.7,11.1,8.5,10.8,8.5,10.7,1.2,43.0,41.7,6.0,9.6,26.8,3.7,6.7,14.6,1.0,2.0,5.8,1.9,4.9,10.9,1.2,2.8,6.9,1.4,2.5,10.7,8.1,12.3,28.8,173.0,77.4,3.1,52.4,44.5,30.9,13.6,49.0,52.2,83.2,53.9,22.1,22.7,,,,,,,,,2.6,,3.1,6.4,,,31.5,39.6,26.2,47.8,59.9,20.2,41.4,30.0,27.1,1.4,32.0,27.2,39.7,1.0,,,,47.8,41.4,6.0,4.8,34.4,24.8,32.7,8.1,36.7,27.3,26.2,9.7,23.7,9.6,60.8,5.9,1.6,18.9,79.1,0.3,27.5,16.6,,,
719,719,Migratieachtergrond: niet-westers,Waarde,2019,23.0,13.9,63.1,17.9,77.8,2.8,12.1,21.0,9.5,21.0,41.4,16.4,10.3,,1.5,,,,,,,73.4,20.0,4.3,2.3,45.0,15.7,39.3,4.0,8.9,4.2,9.4,1.1,69.9,69.0,7.1,10.1,21.8,2.1,4.4,9.7,0.8,1.3,2.7,0.5,2.9,6.6,1.0,1.5,3.6,0.5,1.3,5.4,7.6,11.5,23.1,170.2,75.6,2.8,50.5,46.7,32.5,14.3,39.1,44.5,77.6,46.9,25.0,16.3,,,,,,,,,2.7,8.8,9.1,8.4,60.4,28.8,30.0,38.6,26.6,45.7,62.9,20.0,42.9,13.2,38.2,5.7,21.4,13.8,62.6,2.2,,,,46.5,37.0,11.1,5.4,30.8,22.4,38.0,8.9,34.3,26.7,31.3,7.8,14.5,6.2,70.5,8.8,3.7,10.6,82.2,3.5,12.4,9.9,,,
740,740,Migratieachtergrond: 1e gen niet-west...,Waarde,2019,25.1,14.5,60.4,20.4,81.4,3.6,14.5,23.3,9.9,23.5,42.5,,,,2.0,,,,,,,73.9,20.3,3.2,2.6,44.8,17.1,38.2,3.7,8.4,4.0,9.0,1.1,70.9,70.7,6.5,8.6,18.6,1.9,3.4,8.0,0.6,1.3,2.7,0.4,1.9,4.9,1.1,1.3,3.7,0.3,0.8,4.2,7.0,9.8,19.7,168.9,75.9,2.3,42.8,54.9,35.6,19.3,38.1,44.1,74.0,40.0,22.8,10.6,,,,,,,,,2.2,8.6,8.8,6.2,,,31.6,41.4,26.8,44.5,64.4,21.1,46.0,15.5,30.8,7.7,29.4,16.5,51.5,2.5,,,,52.1,32.9,9.5,5.6,36.3,23.3,31.2,9.2,39.6,26.0,26.8,7.6,17.6,7.9,63.5,11.0,4.1,12.5,78.9,4.5,14.5,10.3,,,
761,761,Migratieachtergrond: 2e gen niet-west...,Waarde,2019,19.3,12.9,67.8,13.4,,1.2,,17.0,,,,,,,0.7,,,,,,,72.9,19.8,5.4,2.0,45.5,13.2,41.3,4.4,9.7,4.6,10.0,1.1,68.2,66.1,8.1,12.9,27.2,2.5,6.2,12.8,1.1,1.4,2.7,0.8,4.6,9.7,0.8,1.7,3.4,0.8,2.3,7.6,8.8,14.5,29.0,173.2,75.0,3.3,61.2,35.5,28.1,7.3,40.5,44.9,82.3,56.1,28.1,24.1,,,,,,,,,3.7,8.9,9.7,12.4,,,27.8,34.7,26.4,47.3,60.8,18.6,36.7,8.5,53.3,1.6,5.0,8.4,85.1,1.4,,,,35.1,45.5,14.4,5.1,19.4,20.5,51.8,8.3,23.5,28.0,40.3,8.1,8.1,2.7,85.0,4.3,2.9,6.7,88.8,1.6,7.9,9.0,,,
782,782,Onderwijsniveau: basisonderwijs,Waarde,2019,26.5,38.0,35.5,25.5,96.3,5.1,19.2,24.1,12.3,41.4,28.3,27.8,24.0,,2.0,,,,,,,77.3,16.5,1.7,4.5,55.5,21.9,22.6,5.1,9.3,7.1,12.8,1.3,63.8,63.8,3.3,4.0,8.5,1.7,1.7,4.2,0.7,0.7,1.4,0.4,0.6,2.3,0.8,0.8,2.9,0.5,0.5,2.3,4.0,4.6,9.3,169.9,78.7,1.8,33.1,65.1,40.4,24.8,28.4,34.6,63.8,20.7,9.4,6.8,,,,,,,,,2.4,,1.4,1.0,,,31.6,39.9,19.2,35.7,59.2,16.1,29.2,47.4,16.2,7.2,44.9,36.8,16.9,1.5,,,,74.5,18.3,4.0,3.2,59.5,15.8,16.2,8.4,58.9,15.3,16.9,8.8,36.4,10.0,45.1,8.5,6.1,22.6,67.4,3.9,41.8,11.7,,,
803,803,"Onderwijsniveau: vmbo,mbo1,avo onderbouw",Waarde,2019,25.7,39.6,34.7,22.5,87.6,5.1,19.9,24.8,12.1,33.2,28.8,24.2,22.6,,2.4,,,,,,,80.6,14.3,3.0,2.1,68.1,19.2,12.6,7.8,11.5,8.6,12.6,1.3,52.8,52.8,3.3,4.4,13.9,0.9,2.1,5.9,0.3,0.7,3.1,0.2,0.9,4.2,0.1,0.5,3.0,0.3,0.7,3.2,3.9,5.7,15.4,171.5,78.5,1.8,37.9,60.3,39.8,20.6,39.8,47.0,71.8,33.4,15.9,9.8,,,,,,,,,1.8,6.7,3.0,3.2,72.2,32.3,31.3,41.6,13.9,30.5,58.8,17.3,41.9,42.9,11.1,4.1,50.1,27.0,21.8,1.0,,,,66.3,28.7,2.4,2.6,51.3,24.9,16.3,7.5,51.0,23.7,15.9,9.4,36.8,9.5,47.8,6.0,5.8,21.7,70.0,2.5,36.5,17.9,10.6,12.5,
824,824,"Onderwijsniveau: havo, vwo, mbo",Waarde,2019,24.0,35.6,40.5,18.8,78.5,3.6,15.2,22.1,10.8,28.3,35.1,19.5,20.3,,2.0,,,,,,,74.4,20.0,3.9,1.7,81.5,10.9,7.5,7.5,9.2,8.3,10.2,1.2,39.6,39.6,4.7,5.8,21.3,1.8,3.3,11.1,0.6,1.2,4.5,0.8,2.2,8.5,0.9,1.8,5.7,0.7,1.2,6.4,5.4,7.3,23.1,174.6,79.9,1.0,43.1,55.9,39.5,16.5,47.8,54.2,79.3,48.4,22.8,17.6,,,,,,,,,2.9,8.1,4.0,4.6,68.4,31.9,28.5,39.2,16.8,37.2,57.1,18.2,59.6,23.1,14.8,2.4,42.0,18.8,38.3,0.8,,,,53.6,40.0,3.1,3.4,36.3,27.6,27.6,8.5,38.1,29.0,22.3,10.6,25.5,7.9,61.0,5.7,3.6,17.0,78.0,1.4,23.0,18.5,9.7,11.7,
845,845,"Onderwijsniveau: hbo, wo bachelor",Waarde,2019,15.6,34.5,49.9,9.2,59.0,1.6,10.4,13.6,8.0,25.2,41.0,18.4,18.1,,1.2,,,,,,,79.5,17.7,2.4,0.5,87.7,7.4,4.9,7.7,8.8,7.2,8.2,1.1,35.4,35.4,3.6,6.0,26.0,2.2,4.4,13.5,0.8,1.9,5.6,1.4,3.2,9.7,0.7,1.8,6.5,0.4,1.6,8.6,5.2,8.3,27.8,175.8,78.6,1.5,52.3,46.1,34.0,12.1,53.0,58.8,85.3,61.6,30.7,21.1,,,,,,,,,2.1,7.8,5.3,6.1,70.1,25.7,31.5,42.3,21.3,44.5,59.9,20.0,62.3,20.6,14.1,3.0,36.2,15.9,47.5,0.5,,,,46.0,45.3,4.8,3.9,29.0,31.5,30.1,9.5,31.8,33.1,24.6,10.5,23.1,6.5,64.0,6.3,2.8,15.1,81.5,0.6,18.5,18.0,8.3,16.0,
866,866,"Onderwijsniveau: wo, master, doctor",Waarde,2019,10.7,29.8,59.5,4.2,,0.9,,8.5,,,,15.1,20.2,,0.3,,,,,,,79.8,18.2,1.4,0.5,88.8,5.4,5.8,7.5,8.5,6.6,7.5,1.1,34.1,34.1,3.0,6.0,32.2,2.0,5.7,15.2,0.4,1.3,4.6,1.2,4.9,11.5,0.7,1.9,5.9,0.7,1.2,7.8,4.1,9.7,34.9,176.3,75.5,1.6,62.9,35.5,29.4,6.1,62.3,64.8,90.5,72.2,36.8,25.1,,,,,,,,,1.9,8.9,4.9,6.0,73.9,29.4,32.6,43.6,25.5,52.9,64.9,22.1,65.8,13.7,19.1,1.4,28.2,16.2,54.4,1.3,,,,44.4,48.2,3.5,4.0,26.2,31.7,32.7,9.4,29.1,35.0,25.2,10.7,18.8,6.2,68.3,6.8,2.4,12.8,83.3,1.5,18.8,14.2,8.2,16.8,
887,887,Onderwijsniveau: onbekend,Waarde,2019,20.4,27.8,51.8,18.4,,2.0,,18.8,,,,,,,0.0,,,,,,,74.2,18.0,3.3,4.5,50.5,20.9,28.6,4.1,,5.6,,,68.4,68.4,3.0,3.0,9.7,0.9,2.1,7.5,0.0,2.1,5.4,0.0,0.9,2.5,0.0,0.9,3.9,0.9,0.9,3.9,3.0,4.2,11.6,169.9,79.1,0.9,28.3,70.8,46.1,24.8,43.6,52.6,72.9,29.7,13.2,9.2,,,,,,,,,,,,,,,30.4,43.3,19.2,38.4,61.5,15.0,,,,,,,,,,,,60.1,24.5,4.9,10.5,44.8,20.3,17.6,17.3,49.2,20.4,14.9,15.5,34.1,4.6,43.2,18.0,4.4,20.0,65.6,10.0,31.0,9.8,,,
908,908,Gestandaardiseerd inkomen: 1e 20%-groep,Waarde,2019,30.2,20.6,49.3,23.6,78.3,5.9,19.7,27.8,11.7,26.2,30.2,20.6,15.8,,2.1,,,,,,,73.9,20.0,3.2,2.8,60.7,16.3,23.0,7.9,13.1,7.7,12.6,1.3,57.2,56.3,9.8,13.1,27.9,4.9,7.6,16.5,1.7,4.0,7.8,2.5,4.9,11.6,1.4,2.8,8.1,1.5,2.8,10.3,12.0,16.3,29.9,172.1,76.3,3.6,52.4,44.0,28.8,15.2,41.2,46.5,77.1,40.9,18.3,15.5,,,,,,,,,5.6,7.9,7.2,10.1,73.0,37.7,28.1,36.5,22.6,38.8,52.6,14.5,40.5,23.6,31.2,4.7,28.0,19.1,51.5,1.4,,,,52.4,34.1,8.0,5.5,34.3,21.1,33.4,11.2,36.6,25.2,26.9,11.3,18.9,7.0,65.5,8.5,4.8,15.2,76.9,3.0,20.9,13.0,13.0,19.7,
929,929,Gestandaardiseerd inkomen: 2e 20%-groep,Waarde,2019,23.3,32.3,44.4,18.9,81.3,2.2,9.5,21.7,9.4,28.0,37.8,23.6,22.5,,1.6,,,,,,,78.0,16.8,3.2,2.0,68.0,15.8,16.2,6.9,10.2,6.7,9.8,1.2,51.5,50.8,4.3,5.9,18.7,1.8,3.6,10.6,0.4,1.3,4.8,0.8,2.1,8.0,0.4,1.5,4.6,0.6,1.5,6.1,4.9,7.5,20.1,172.8,78.3,2.7,46.6,50.6,35.0,15.6,42.7,48.1,78.7,42.7,17.2,16.0,,,,,,,,,3.2,8.3,3.7,4.8,74.2,37.1,31.1,39.3,17.4,37.8,53.2,16.3,39.7,33.1,22.1,5.1,36.1,25.0,37.2,1.6,,,,58.6,31.8,5.6,4.0,43.6,19.7,27.3,9.4,45.0,21.7,22.9,10.5,26.1,9.0,58.4,6.4,3.7,20.1,74.7,1.6,34.0,15.3,12.0,15.8,
950,950,Gestandaardiseerd inkomen: 3e 20%-groep,Waarde,2019,21.3,30.4,48.3,15.8,74.4,3.3,15.3,19.5,10.4,26.7,31.2,20.4,19.7,,1.8,,,,,,,77.9,17.0,3.3,1.7,75.1,11.9,13.0,7.0,9.4,7.5,9.9,1.1,46.5,45.3,4.8,6.7,21.3,1.4,3.4,10.3,0.4,1.0,3.3,0.8,2.3,7.9,0.6,1.2,4.6,0.5,1.4,5.8,5.7,8.4,23.5,173.9,78.1,1.7,53.1,45.2,32.6,12.6,48.9,55.1,80.9,51.0,23.1,22.2,,,,,,,,,2.9,6.2,4.2,5.2,73.2,33.1,30.9,39.9,19.4,40.1,51.1,13.6,45.2,28.6,23.9,2.3,32.8,21.1,44.9,1.2,,,,50.9,38.4,6.4,4.3,32.4,24.0,33.6,10.0,35.5,25.8,28.2,10.5,23.1,7.0,64.5,5.4,3.6,14.4,80.1,1.9,22.2,14.8,9.5,10.9,
971,971,Gestandaardiseerd inkomen: 4e 20%-groep,Waarde,2019,15.5,33.5,51.0,10.6,68.4,2.0,13.0,14.4,9.7,24.7,35.5,19.1,20.0,,1.2,,,,,,,77.7,18.5,2.5,1.3,81.0,8.3,10.6,8.4,10.4,7.8,9.6,1.1,39.9,38.8,3.2,5.4,19.9,1.8,3.9,9.7,0.2,0.9,3.7,0.9,2.7,6.9,0.8,1.9,4.8,0.5,1.0,5.6,4.1,7.2,21.6,175.1,78.7,2.5,54.2,43.3,30.7,12.6,53.1,57.9,84.1,58.8,26.4,26.4,,,,,,,,,2.7,7.1,3.6,4.9,73.3,38.7,27.9,38.8,18.8,41.2,56.3,15.8,53.6,21.7,21.1,3.5,39.4,15.0,44.5,1.1,,,,50.8,36.9,6.4,5.9,32.7,27.0,30.1,10.2,34.1,28.7,25.0,12.2,24.2,6.5,61.8,7.5,2.9,14.8,80.3,2.0,22.7,16.4,9.2,11.1,
