,ID,KenmerkenPersonen,Marges,Perioden,Rokers,ExRokers,NooitRokers,DagelijkseRokersOnderBevolking,DagelijkseRokersOnderRokers,ZwareRokersOnderBevolking,ZwareRokersOnderRokers,Sigarettenrokers,SigarettenPerDagPerRoker,RookjarenHuidigeSigarettenrokers,StoppogingInAfgelopen12Maanden,RookjarenExSigarettenrokers,StopjarenExSigarettenrokers,ESigaret,ESigaretRegelmatigOfElkeDag,BijnaNooit,MinderDan1UurPerDag,k,BijnaNooit,MinderDan1UurPerDag,k,BijnaNooit,NietDagelijks,DagelijksMinderDanEenUur,DagelijksEenUurOfMeer,Drinkers,ExDrinkers,NooitDrinkers,ZwareDrinkersOnderBevolking,ZwareDrinkersOnderDrinkers,OvermatigeDrinkersOnderBevolking,OvermatigeDrinkersOnderDrinkers,GlazenAlcoholPerDagPerDrinker,Maximaal1GlasPerDagOnderBevolking,RichtlijnAlcoholgebruik12JrOfOuder,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,OpgegevenLengte18JaarOfOuder,OpgegevenGewicht18JaarOfOuder,Ondergewicht,NormaalGewicht,Overgewicht,MatigOvergewicht,ErnstigOvergewicht,VoldoetAanBeweegrichtlijn,VoldoendeMatigIntensieveInspanning,VoldoendeBotSpierversterkActiviteit,WekelijkseSporters,AbonnementSportaanbieder,LidSportvereniging,Inactief,SemiActief,Normactief,Inactief,SemiActief,Normactief,VoldoenAanCombinorm,WekelijkseSporters,RisicovolleSeks,RisicoOngeplandeZwangerschap1649Jr,HivTest,SoaTestExclHivTest,AnticonceptiegebruikInclPil1649,GebruikAnticonceptiepil1649Jaar,k,Minimaal5DagenPWVoldoendeFruit,k,Minimaal5DagenPWVoldoendeGroente,Minimaal1DagPerWeek,Min2DagenPWWaarvan1XVetteVis,InDeAfgelopen5Jaar,LangerDan5JaarGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen5Jaar,NietInDeAfgelopen5Jaar,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,Griepprik16JaarOfOuder,Mantelzorger,UrenMantelzorgPerWeek,ZwaarBelasteMantelzorgers,Bloeddonoren18Tot70Jaar
215,215,Leeftijd: 50 tot 55 jaar,Waarde,2019,23.9,28.4,47.7,19.6,82.0,4.6,19.1,21.8,12.5,35.4,30.2,18.3,17.0,,2.7,,,,,,,75.9,20.7,1.9,1.5,80.1,11.3,8.6,7.7,9.7,6.8,8.5,1.2,40.0,40.0,3.6,4.8,19.5,0.8,1.5,6.5,0.3,0.3,2.3,0.5,1.2,3.9,0.0,0.3,3.3,0.1,0.5,4.1,3.9,5.4,20.6,174.9,81.2,0.5,40.9,58.6,39.5,19.1,51.0,56.6,80.6,51.6,24.6,20.0,,,,,,,,,2.7,,3.8,3.4,,,27.0,38.6,20.0,39.5,58.4,15.3,80.2,14.4,2.9,2.4,70.1,12.3,17.2,0.5,,,,52.2,42.0,2.8,3.0,38.0,33.6,21.8,6.6,36.9,32.4,21.0,9.7,9.3,7.6,77.5,5.5,2.5,15.6,80.6,1.3,13.3,26.2,8.5,13.0,
236,236,Leeftijd: 55 tot 65 jaar,Waarde,2019,21.0,41.1,38.0,17.2,82.3,4.1,19.6,18.8,12.2,41.9,30.8,21.8,21.6,,2.3,,,,,,,78.0,17.7,2.3,2.0,79.9,11.5,8.6,8.4,10.5,10.4,13.1,1.3,39.0,39.0,1.9,3.1,13.3,0.4,0.8,4.3,0.2,0.3,1.3,0.0,0.3,1.7,0.1,0.2,2.4,0.2,0.2,2.5,2.1,3.6,14.2,174.2,80.2,0.9,41.0,58.1,39.5,18.6,48.7,55.3,81.6,45.5,20.6,15.5,,,,,,,,,1.9,,2.3,1.7,,,30.7,42.2,20.6,42.9,62.2,20.7,68.9,22.3,4.9,3.9,79.9,13.5,6.1,0.5,,,,61.2,34.7,1.5,2.6,48.4,32.2,14.3,5.1,46.9,28.1,16.2,8.8,57.7,6.5,31.0,4.8,6.1,21.2,71.0,1.6,26.4,24.5,8.6,14.7,
257,257,Leeftijd: 65 tot 75 jaar,Waarde,2019,14.1,55.6,30.2,12.2,86.1,2.6,18.5,12.1,12.1,51.7,31.3,24.9,27.3,,1.1,,,,,,,85.5,10.6,1.9,1.9,78.1,13.7,8.2,6.4,8.2,9.5,12.2,1.4,47.0,47.0,0.6,0.6,5.8,0.2,0.4,2.4,0.0,0.1,1.0,0.1,0.1,0.2,0.0,0.0,1.2,0.1,0.2,1.7,0.7,1.0,6.6,171.5,78.0,1.2,38.6,60.3,42.5,17.7,49.6,55.1,81.7,41.6,19.1,13.3,,,,,,,,,1.2,,0.5,0.5,,,40.0,49.1,17.5,39.3,68.3,27.6,28.2,59.5,6.0,6.2,79.6,16.3,2.9,1.3,,,,73.7,23.2,1.0,2.0,61.4,24.1,9.6,4.9,59.1,20.1,11.1,9.7,65.0,9.7,19.0,6.4,7.8,30.3,59.9,1.9,56.0,19.7,11.2,10.6,
278,278,Leeftijd: 75 jaar of ouder,Waarde,2019,7.7,52.7,39.6,6.9,,0.7,,5.8,,,,28.7,33.3,,0.2,,,,,,,88.7,9.3,0.8,1.2,66.8,20.4,12.8,3.5,5.3,4.2,6.3,1.0,65.9,65.9,0.2,0.2,1.1,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,1.4,169.5,74.7,1.9,43.8,54.3,39.0,15.3,27.0,32.7,64.2,26.4,11.4,9.5,,,,,,,,,0.9,,0.2,0.2,,,42.5,49.4,15.0,36.2,65.3,21.3,5.7,72.6,14.5,7.2,20.7,69.3,6.9,3.1,,,,83.3,15.0,0.5,1.3,67.2,21.2,5.6,6.1,68.1,16.2,7.4,8.3,26.0,19.0,46.6,8.4,5.2,32.3,60.3,2.1,70.4,15.2,16.1,11.0,
299,299,Leeftijd: 0 tot 12 jaar,Waarde,2019,,,,,,,,,,,,,,,,,,,,,,94.4,4.4,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,320,Leeftijd: 12 tot 18 jaar,Waarde,2019,5.6,1.9,92.5,2.8,,0.2,,4.9,,,,,,,0.4,,,,,,,66.8,26.3,4.7,2.2,34.6,10.3,55.0,3.4,10.0,2.0,5.6,0.6,76.9,65.4,3.5,5.8,7.8,0.7,1.6,2.3,0.0,0.2,0.3,0.2,0.6,0.9,0.0,0.2,0.5,0.5,1.0,1.6,3.8,6.6,8.6,,,2.8,82.7,14.4,12.1,2.3,40.5,41.7,93.5,71.3,18.0,50.1,,,,,,,,,,,,,,,18.3,26.3,19.5,38.2,43.1,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,341,Leeftijd: 18 jaar of ouder,Waarde,2019,21.7,32.6,45.7,15.9,73.3,3.0,13.9,19.9,10.0,26.6,34.2,20.0,20.1,,1.6,,,,,,,75.0,20.1,3.2,1.7,79.1,11.4,9.5,8.5,10.8,8.5,10.7,1.2,41.5,41.5,4.9,7.2,22.9,2.3,4.6,11.7,0.7,1.7,4.6,1.2,3.4,8.8,0.8,1.9,5.4,0.7,1.6,6.7,6.0,9.3,24.7,174.2,77.9,1.8,48.1,50.1,35.4,14.7,49.1,55.0,79.6,51.2,25.2,18.3,,,,,,,,,3.2,,4.6,5.7,,,29.6,39.9,18.4,39.2,57.6,17.9,50.3,25.2,21.0,3.5,37.0,19.2,42.6,1.2,,,,52.0,37.9,5.4,4.7,35.0,25.5,29.6,9.9,36.8,27.4,24.8,11.0,24.6,7.3,61.6,6.6,3.5,15.9,78.6,2.0,23.7,15.7,9.9,13.7,
362,362,Positie: alleenstaande <40 jaar,Waarde,2019,37.3,13.5,49.2,22.3,59.7,3.4,9.1,34.2,8.0,11.3,31.7,,,,2.1,,,,,,,56.6,38.4,4.0,1.0,85.2,9.7,5.1,15.7,18.4,13.5,15.8,1.5,28.8,28.6,18.9,24.7,51.6,10.7,18.7,34.6,3.6,9.9,15.1,5.2,14.8,27.4,4.9,9.9,16.2,3.6,7.3,21.0,23.5,31.6,56.5,177.3,76.7,3.0,61.7,35.3,25.9,9.4,59.4,65.6,83.2,65.0,35.1,19.7,,,,,,,,,12.9,6.4,14.7,23.6,85.5,44.6,27.4,37.9,21.0,41.3,50.7,13.5,36.6,6.2,53.2,4.0,3.0,7.3,89.6,0.0,,,,36.5,42.1,11.8,9.6,15.4,16.9,51.6,16.1,20.0,24.4,43.2,12.4,4.3,4.6,84.4,6.7,0.9,4.2,92.1,2.7,7.2,6.3,,,
383,383,Positie: alleenstaande 40 tot 65 jaar,Waarde,2019,34.3,26.9,38.8,29.2,85.1,9.9,29.0,32.2,14.1,36.3,32.1,21.7,15.7,,3.6,,,,,,,71.2,24.4,3.6,0.9,76.0,13.7,10.4,11.3,14.9,11.5,15.1,1.5,42.3,42.3,7.3,9.6,29.5,2.3,3.8,12.8,1.2,2.0,6.1,0.7,1.8,7.7,0.8,1.6,7.7,0.3,0.7,6.7,8.2,11.4,31.0,174.9,81.0,1.4,41.9,56.6,35.8,20.8,46.8,53.6,74.9,44.1,21.3,11.3,,,,,,,,,8.5,,5.8,4.9,,,24.2,36.2,22.4,41.9,58.3,19.0,67.4,22.2,6.7,3.7,55.0,20.1,24.5,0.4,,,,55.1,37.9,3.2,3.8,41.1,29.6,21.9,7.4,40.0,30.2,20.4,9.3,28.5,6.5,56.2,8.8,5.7,19.7,71.7,2.9,19.4,16.1,,,
404,404,Positie: alleenstaande >=65 jaar,Waarde,2019,13.8,50.4,35.9,12.2,,2.9,,11.9,,,,27.2,30.1,,1.5,,,,,,,88.0,9.5,0.9,1.5,68.5,19.5,12.1,3.9,5.7,5.8,8.4,1.2,60.9,60.9,1.0,1.0,5.8,0.6,0.6,2.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.6,2.3,1.4,1.4,6.7,168.6,74.9,2.5,40.1,57.5,39.6,17.8,31.2,37.0,67.0,31.0,15.5,9.9,,,,,,,,,2.1,,0.4,0.2,,,43.3,49.8,16.8,35.3,65.4,27.5,14.0,68.3,11.5,6.2,41.7,49.7,5.9,2.7,,,,79.7,18.7,0.3,1.3,61.6,23.1,8.7,6.5,63.5,17.3,9.8,9.3,38.9,11.2,40.6,9.3,6.4,30.2,61.2,2.2,61.7,13.3,,,
